resume_text,jd_text,label
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Worked on a project involving React, Vite, Node.js, and REST APIs, focusing on clean architecture and maintainable code. Gained hands-on experience with Express.js, and React through internship and personal projects. Quick learner, eager to take ownership of new problems. Technical Skills: Vite, REST APIs, feature engineering, Express.js, React, TypeScript, Node.js.","We're seeking an experienced Data Analyst to work closely with our product and engineering teams. Responsibilities: Design, build, and maintain systems using TensorFlow, NLP, and Room DB. Participate in code reviews, sprint planning, and technical design discussions. Design, build, and maintain systems using NumPy, NLP, and SQL. Own projects end to end, from design through deployment and monitoring. Requirements: Strong proficiency in SQL. Hands-on experience with Room DB, and data visualization. Strong proficiency in NumPy, and TensorFlow.",0
"Motivated developer with practical experience building and deploying applications end to end. Built and maintained applications using Android SDK, and Coroutines, collaborating with a small team to ship features on schedule. Developed features end to end using Material Design, Coroutines, and MVVM architecture, including testing and code review. Developed features end to end using Room DB, and Jetpack Compose, including testing and code review. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: Coroutines, MVVM architecture, Material Design, Jetpack Compose, statistics, Room DB, Android SDK.","Join us as a Product Designer and help shape the next generation of our platform. Responsibilities: Design, build, and maintain systems using wireframing. Collaborate with cross-functional teams to deliver features involving Java, design systems, and typography. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Familiarity with typography, UI/UX design, and user research and modern development practices.",0
"Motivated developer with practical experience building and deploying applications end to end. Developed features end to end using Coroutines, and monitoring, including testing and code review. Built and maintained applications using Firebase, Dagger Hilt, Kotlin, and Coroutines, collaborating with a small team to ship features on schedule. Quick learner, eager to take ownership of new problems. Technical Skills: Kotlin, Android SDK, Firebase, Dagger Hilt, Coroutines, Android Studio, monitoring.","We're seeking an experienced Site Reliability Engineer to work closely with our product and engineering teams. Responsibilities: Collaborate with cross-functional teams to deliver features involving monitoring, Kubernetes, and Azure. Participate in code reviews, sprint planning, and technical design discussions. Write clean, well-tested, maintainable code using Docker, and UI/UX design. Design, build, and maintain systems using Kubernetes. Requirements: Familiarity with Docker and modern development practices. Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with Kubernetes, AWS, and Docker.",1
"Detail-oriented developer with a track record of shipping projects independently and in teams. Built and maintained applications using MongoDB, and JWT authentication, collaborating with a small team to ship features on schedule. Developed features end to end using JWT authentication, Express.js, and JavaScript, including testing and code review. Comfortable working independently and under tight deadlines. Technical Skills: JavaScript, REST APIs, React, JWT authentication, prototyping, MongoDB, Express.js.","Our company is hiring a Software Engineer to help build and scale our core product. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Design, build, and maintain systems using Express.js. Requirements: Strong proficiency in TypeScript. Bachelor's degree in Computer Science or equivalent practical experience. Bachelor's degree in Computer Science or equivalent practical experience. Experience with Figma is a plus.",1
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Gained hands-on experience with Ansible, shell scripting, TensorFlow, and Linux administration through internship and personal projects. Built and maintained applications using Linux administration, and shell scripting, collaborating with a small team to ship features on schedule. Comfortable working independently and under tight deadlines. Technical Skills: Linux administration, TensorFlow, Azure, Kubernetes, shell scripting, Jenkins, Ansible.","Our company is hiring a Data Analyst to help build and scale our core product. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Collaborate with cross-functional teams to deliver features involving HTML5, pandas, and Jupyter. Write clean, well-tested, maintainable code using scikit-learn. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Strong proficiency in SQL, Python, and pandas. Hands-on experience with scikit-learn, and SQL. Familiarity with SQL, and Jupyter and modern development practices.",0
"Motivated developer with practical experience building and deploying applications end to end. Worked on a project involving UI/UX design, design systems, typography, and Figma, focusing on clean architecture and maintainable code. Developed features end to end using Jetpack Compose, and UI/UX design, including testing and code review. Gained hands-on experience with Jetpack Compose, accessibility, and design systems through internship and personal projects. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: Jetpack Compose, user research, design systems, Figma, typography, UI/UX design, accessibility.","Our company is hiring a Mobile Engineer to help build and scale our core product. Responsibilities: Write clean, well-tested, maintainable code using Material Design, and MVVM architecture. Collaborate with cross-functional teams to deliver features involving Dagger Hilt, Material Design, and MVVM architecture. Own projects end to end, from design through deployment and monitoring. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with Dagger Hilt. Hands-on experience with Material Design, and Dagger Hilt. Familiarity with Android Studio, and Dagger Hilt and modern development practices. Experience with HTML5 is a plus.",0
"Engineering student passionate about building scalable, real-world software solutions. Developed features end to end using statistics, and scikit-learn, including testing and code review. Worked on a project involving scikit-learn, statistics, TensorFlow, and NLP, focusing on clean architecture and maintainable code. Developed features end to end using machine learning, scikit-learn, NLP, and statistics, including testing and code review. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: statistics, TypeScript, scikit-learn, NLP, data visualization, TensorFlow, machine learning.","We are looking for a Android Software Engineer to join our growing engineering team. Responsibilities: Own projects end to end, from design through deployment and monitoring. Write clean, well-tested, maintainable code using Dagger Hilt, data visualization, and Java. Write clean, well-tested, maintainable code using Kotlin, Java, and Dagger Hilt. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment. Familiarity with MVVM architecture, and Android SDK and modern development practices. Exposure to SQL is beneficial but not required.",0
"Engineering student passionate about building scalable, real-world software solutions. Worked on a project involving AWS, and CI/CD, focusing on clean architecture and maintainable code. Worked on a project involving REST APIs, AWS, and monitoring, focusing on clean architecture and maintainable code. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: AWS, Ansible, shell scripting, monitoring, REST APIs, Terraform, CI/CD.","Join us as a Machine Learning Engineer and help shape the next generation of our platform. Responsibilities: Own projects end to end, from design through deployment and monitoring. Collaborate with cross-functional teams to deliver features involving feature engineering. Collaborate with cross-functional teams to deliver features involving Android Studio, and regression models. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment. Bachelor's degree in Computer Science or equivalent practical experience.",0
"Engineering student passionate about building scalable, real-world software solutions. Built and maintained applications using machine learning, and NLP, collaborating with a small team to ship features on schedule. Gained hands-on experience with machine learning, TensorFlow, NLP, and Jupyter through internship and personal projects. Gained hands-on experience with scikit-learn, regression models, and prototyping through internship and personal projects. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: Jupyter, machine learning, scikit-learn, prototyping, regression models, TensorFlow, NLP.","Our company is hiring a ML Engineer to help build and scale our core product. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Participate in code reviews, sprint planning, and technical design discussions. Design, build, and maintain systems using NLP, and Python. Collaborate with cross-functional teams to deliver features involving SQL, and Figma. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment.",1
"Engineering student passionate about building scalable, real-world software solutions. Gained hands-on experience with Azure, and AWS through internship and personal projects. Built and maintained applications using Jenkins, Azure, and CI/CD, collaborating with a small team to ship features on schedule. Comfortable working independently and under tight deadlines. Technical Skills: CI/CD, Jenkins, Ansible, Room DB, AWS, Azure, Docker.","Our company is hiring a Data Analyst to help build and scale our core product. Responsibilities: Collaborate with cross-functional teams to deliver features involving NLP, and scikit-learn. Design, build, and maintain systems using scikit-learn, and Python. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Strong proficiency in Firebase, Jupyter, and NLP. Familiarity with scikit-learn, NLP, and Firebase and modern development practices. Familiarity with Python, NumPy, and NLP and modern development practices. Exposure to Docker is beneficial but not required.",0
